005 ಪುರೋಹಿತಯಾನಃ 	 05_udyOgaparva/049_udyOga-parva/005/
005 ಪುಲೋಮಾಗ್ನಿಸಂವಾದಃ 	 01_Adiparva/004_paulOma-parva/005/
005 ಭೌಮಗುಣಕಥನಃ 	 06_bhIshmaparva/061_jaMbUkhaMDavinirmANa-parva/005/
005 ರಾಜಧರ್ಮಾನುಶಾಸನಃ 	 02_Sabhaparva/020_sabhA-parva/005/
005 ವಿದುರವಾಕ್ಯಪ್ರತ್ಯಾಖ್ಯಾನಃ 	 03_aranyakaparva/029_AraNyaka-parva/005/
005 ಶಲ್ಯದುರ್ಯೋಧನಸಂವಾದಃ 	 09_shalyaparva/074_shalyavadha-parva/005/
005: ಧೃತರಾಷ್ಟ್ರನಿರ್ವೇದಃ 	 15_AshramavAsikaparva/90_AshramavAsa-parva/005/
005: ಪೃಥೂಪಾಖ್ಯಾನಮ್ 	 19_harivaMsha/96_harivaMsha-parva/005/
005: ಶುಕ್ರವಾಸವಸಂವಾದಃ 	 13_anushAsanaparva/87_dAnadharma-parva/005/
005: ಶ್ರೀಕೃಷ್ಣಸ್ಯ ಸ್ವಲೋಕಗಮನಃ 	 16_mausalaparva/93_mausala-parva/005/
005: ಸಂವರ್ತಮರುತ್ತೀಯಃ 	 14_ashvamEdhikaparva/89_ashvamEdhika-parva/005/
006 ಅಗ್ನಿಶಾಪಃ 	 01_Adiparva/004_paulOma-parva/006/
006 ಆದಿವಂಶಾವತರಣ ಪರ್ವ 	 01_Adiparva/006_AdivaMshAvataraNa-parva/
006 ಕರ್ಣಾಭಿಷೇಕಃ 	 08_karNaparva/073_karNavadha-parva/006/
006 ದ್ರೋಣಪರಾಕ್ರಮಃ 	 07_drONaparva/065_drONAbhishEka-parva/006/
006 ದ್ರೌಣಿಚಿಂತಾ 	 10_sauptikaparva/078_sauptika-parva/006/
006 ಧೃತರಾಷ್ಟ್ರಶೋಕಕರಣಃ 	 11_strIparva/080_vishOka-parva/006/
006 ಪುರೋಹಿತಯಾನಃ 	 05_udyOgaparva/049_udyOga-parva/006/
